"","Col_3-OH10_000","Col_3-OH10_005","Col_3-OH10_010","Col_3-OH10_030","Col_3-OH10_090","Col_3-OH10_180","Col_3-OH10_0001","Col_3-OH10_0051","Col_3-OH10_0101","Col_3-OH10_0301","Col_3-OH10_0901","Col_3-OH10_1801","Col_3-OH10_0002","Col_3-OH10_0052","Col_3-OH10_0102","Col_3-OH10_0302","Col_3-OH10_0902","Col_3-OH10_1802","Col_3-OH10_0003","Col_3-OH10_0103","Col_3-OH10_0303","Col_3-OH10_0903","Col_3-OH10_1803"
"V2901",0.502953333461007,0.461038070692451,0.449634175554638,0.408151563286989,0.556194691398714,0.488097903998973,0.46856368687298,0.471239796442224,0.492398066770065,0.475538416326899,0.556849249186725,0.502328968383357,0.440428561562749,0.481243621914086,0.401377123545966,0.439216219242757,0.556522652051338,0.547885714640364,0.432927626933353,0.401377123545966,0.356952215576833,0.509544411673821,0.472982812594079
"V2902",0.497169695582376,0.478026312330494,0.483585479561379,0.42622838020225,0.552494074308656,0.512383738085313,0.476375077343255,0.483585479561379,0.487361074316274,0.460054664633251,0.548249805758252,0.513493974319704,0.48281142824132,0.49783114711156,0.458057455280979,0.46856368687298,0.570283861840358,0.532235631648859,0.42622838020225,0.424834950114208,0.437989191179778,0.516208718854227,0.474694234102825
"V4",0.631996572000153,0.609655740910804,0.618325641351881,0.615164759589145,0.653980038636704,0.63758514903069,0.62280682759921,0.628108859859944,0.622146704898245,0.616907023459227,0.656131963822274,0.650477335441479,0.620263173966469,0.62280682759921,0.592815243948564,0.622411532375635,0.657679076502112,0.669515535393895,0.604361902385605,0.593818795978342,0.594611690125429,0.631190847972897,0.641851249408392
"V5",0.547152532103669,0.522889348830036,0.535699186406939,0.513493974319704,0.578822253946587,0.567494287694114,0.523382166334956,0.536542826049922,0.525804054706198,0.529081687345765,0.597698443991275,0.587360109021171,0.512940634908647,0.53355152215586,0.501700174985162,0.525804054706198,0.607717335265577,0.594414284413187,0.502328968383357,0.454982769154443,0.462011588612255,0.546412589348808,0.549689819942937
"V2869",0.608044178578712,0.575828246234299,0.589506959635475,0.559098100568993,0.608044178578712,0.623330294349567,0.564006970524597,0.590138867112186,0.575573263191444,0.561591320394921,0.628230092505307,0.631537368207971,0.568622374861738,0.598262662179915,0.542996061294343,0.558462138142699,0.626760476464623,0.634134925979823,0.556849249186725,0.510119733939341,0.512940634908647,0.55749839392707,0.595590662516507
"V2870",0.653817629284346,0.641654390807165,0.651750962447761,0.637269362854368,0.652751512767701,0.662383235665772,0.644545479099418,0.656600181996549,0.639651883642741,0.628108859859944,0.682297044762979,0.680655523376223,0.632566097324979,0.654061084519502,0.622675320745086,0.63084249320729,0.682850739416349,0.69105223198226,0.634466262052357,0.617478025601977,0.611850769082751,0.633130719049344,0.668820090773078
"V2872",0.646493909720463,0.622938077468465,0.634795924667567,0.636845907434462,0.647310966546973,0.646767435553337,0.62859246535212,0.622279248994857,0.614573995511436,0.602268802917685,0.677556800703891,0.657983895196027,0.619989755340722,0.643691812222503,0.603497328460662,0.615750466670229,0.665013746223626,0.679126736788144,0.615750466670229,0.580991499900336,0.578084908925056,0.619023994744043,0.639346059418815
"V2874",0.552494074308656,0.495831977098307,0.514590143884871,0.485114368328952,0.559728925726781,0.566349337809003,0.509544411673821,0.515133053856587,0.534417303127166,0.507204478585407,0.579309800308184,0.592815243948564,0.514590143884871,0.539022942816158,0.488828842713387,0.503573326261015,0.588655788446642,0.601557062298885,0.495831977098307,0.463929664712646,0.458057455280979,0.514043797232133,0.568341909191178
"V2886",0.621747498838406,0.597698443991275,0.594611690125429,0.589295097820389,0.62280682759921,0.631074934434795,0.600111730969211,0.610132001722325,0.616041448546388,0.60083808362318,0.657449468494072,0.653898886976597,0.602973437801091,0.637374795997539,0.596556450423237,0.587794561585251,0.652834172479607,0.669389690766237,0.596748054341867,0.585372522791893,0.554197703276456,0.608207026604832,0.621613902378419
"V2887",0.680185355623554,0.66635363678757,0.671554553989551,0.681379413978709,0.696782825218855,0.697522458745728,0.673231457950441,0.678048549259172,0.681430776512814,0.677775865849767,0.708779536947143,0.703526468087939,0.665351516492839,0.684138742162175,0.664263945244316,0.672876090585666,0.712136397932707,0.718826706819149,0.675830713849149,0.659855513439916,0.653817629284346,0.684187710544646,0.700091642438957
