,Col_3.OH10_000,Col_3.OH10_005,Col_3.OH10_010,Col_3.OH10_030,Col_3.OH10_090,Col_3.OH10_180,Col_3.OH10_0001,Col_3.OH10_0051,Col_3.OH10_0101,Col_3.OH10_0301,Col_3.OH10_0901,Col_3.OH10_1801,Col_3.OH10_0002,Col_3.OH10_0052,Col_3.OH10_0102,Col_3.OH10_0302,Col_3.OH10_0902,Col_3.OH10_1802,Col_3.OH10_0003,Col_3.OH10_0103,Col_3.OH10_0303,Col_3.OH10_0903,Col_3.OH10_1803
1,6.269096284,6.09356977,6.06610809,5.872117789,6.405228458,6.210600077,6.135564891,6.182084907,6.222576268,6.182084907,6.461468176,6.32256524,6.023447593,6.167516491,5.966146739,6.139884552,6.489204931,6.576469569,5.846438775,5.80814249,5.683579767,6.29710932,6.196444128
2,6.992096427,6.576469569,6.66057515,6.873163834,7.619233416,7.284134806,6.80461452,6.837332815,6.975413927,6.897704943,7.68017564,7.654443226,6.739336627,6.673297968,6.432940093,6.779921907,7.974188669,7.977281987,6.679599186,6.242223265,6.350885717,7.368339686,7.502186487
3,6.867974409,6.472346295,6.548219103,6.440946541,7.115582126,7.171656823,6.591673732,6.779921907,6.725033642,6.591673732,7.166265974,7.160069208,6.624065228,6.64898455,6.416732283,6.525029658,7.048386409,7.437795122,6.455198563,6.390240667,6.249975242,6.751101469,7.156176637
4,6.679599186,6.419994928,6.516193076,6.450470422,6.987490247,7.178545484,6.410174882,6.595780514,6.639875834,6.549650742,7.102499356,7.106606138,6.306275287,6.602587892,6.300785795,6.562444094,7.170888479,7.390798522,6.486160789,6.259581464,6.216606101,6.690842277,6.926577033
5,6.870053412,6.448889394,6.415096959,6.744059186,7.463936604,7.564757013,6.458338283,6.690842277,6.74051936,6.590301048,7.694848072,7.906547232,6.470799504,6.770789424,6.64118217,6.458338283,7.877017896,8.237214703,6.782192056,6.300785795,5.986452005,7.149916836,7.742835955
6,6.938284484,6.73459166,6.858565035,6.970730078,7.244941546,7.424761762,6.80682936,6.884486652,6.831953566,6.871091295,7.523481313,7.760893196,6.825460036,7.003065459,6.630683386,6.742880636,7.628031127,7.889459149,6.924612396,6.66057515,6.343880434,6.97634807,7.598900457
7,7.629975707,7.173191742,7.188412736,7.501082124,8.119696253,8.481566014,7.261927093,7.522400231,7.38832786,7.225481473,8.315321775,8.649273532,7.166265974,7.445417557,7.167037877,7.201170883,8.513586696,8.886409167,7.589335823,7.103322063,6.738152495,7.857093865,8.517193191
8,4.624972813,4.33073334,4.317488114,4.615120517,5.198497031,5.59471138,4.304065093,4.59511985,4.442651256,4.204692619,5.236441963,5.356586275,4.477336814,4.477336814,4.127134385,4.17438727,5.446737372,5.92157842,4.442651256,3.828641396,3.784189634,4.997212274,5.505331536
9,6.650279049,6.356107661,6.349138991,6.464588304,6.829793738,7.074963198,6.499787041,6.591673732,6.508769137,6.202535517,6.805722553,6.869014451,6.448889394,6.632001777,6.23636959,6.249975242,6.901737207,7.356279877,6.386879319,6.212606096,6.063785209,6.552507887,6.883462586
10,6.887552572,6.274762021,6.416732283,6.440946541,7.344072851,7.424761762,6.51174533,6.725033642,6.711740395,6.538139824,7.368339686,7.041411664,6.473890696,6.741700695,6.342121419,6.530877628,7.351799869,7.230563153,6.434546519,6.06610809,6.22059017,6.834108739,6.931471806
11,6.453624999,6.214608098,6.224558429,6.196444128,6.56667243,6.54534966,6.248042875,6.335054251,6.378426184,6.492239835,6.661854741,6.620073207,6.232448017,6.395261598,6.165417854,6.342121419,6.717804695,6.751101469,6.12905021,6.03068526,5.789960171,6.210600077,6.359573869
12,5.318119994,4.779123493,4.691347882,4.844187086,5.655991811,6.380122537,5.087596335,5.231108617,5.236441963,5.093750201,6.098074282,6.311734809,4.691347882,4.941642423,4.709530201,4.682131227,5.888877958,6.43775165,4.859812404,4.574710979,4.406719247,5.590986981,6.270988432
13,5.488937726,4.934473933,5.164785974,5.214935758,5.888877958,6.045005314,5.241747015,5.231108617,5.365976015,5.272999559,6.073044534,5.926926026,5.220355825,5.529429088,5.017279837,5.170483995,6.070737728,5.988961417,5.081404365,4.94875989,4.9698133,5.713732806,5.953243334
14,7.124478262,6.50578406,6.583409222,6.864847778,7.638198244,7.527793988,6.650279049,6.745236349,6.775366091,6.555356892,7.624130586,7.093404626,6.502790046,6.849066283,6.335054251,6.543911846,7.494430215,7.446001498,6.378426184,6.234410726,6.359573869,7.122866659,7.275172319
15,6.357842267,5.955837369,5.966146739,6.311734809,6.705639095,6.595780514,6.202535517,6.226536669,6.390240667,6.376726948,6.814542897,6.759255271,6.061456919,6.152732695,6.040254711,6.320768294,6.853299093,7.027314514,5.940171253,5.693732139,5.863631176,6.413458957,6.602587892
16,6.670766321,6.261491684,6.23636959,6.499787041,7.04053639,6.747586527,6.570882962,6.595780514,6.690842277,6.650279049,6.926577033,6.758094504,6.359573869,6.455198563,6.244166901,6.514712691,6.899723107,7.098375639,6.186208624,6.154858094,6.285998095,6.71417053,6.717804695
17,5.683579767,5.433722004,5.365976015,5.225746674,5.799092654,5.616771098,5.370638028,5.402677382,5.488937726,5.509388337,5.752572639,5.609471795,5.318119994,5.402677382,5.247024072,5.517452896,5.831882477,5.82008293,5.062595033,4.96284463,4.927253685,5.411646052,5.438079309
18,7.624130586,7.358830898,7.333676396,7.075808864,6.993932975,6.694562059,7.417580402,7.556950572,7.568895663,7.667626092,7.511524648,7.667626092,7.473637108,7.347943823,7.151485464,7.573531263,7.620214771,7.615791072,7.370230642,7.276556403,7.203405521,7.289610521,7.403061091
19,8.050703381,7.779466967,7.778211475,7.581209826,7.396335294,7.054449658,7.815610532,7.957527402,7.879291485,7.940583827,7.87359779,8.027802848,7.784473236,7.669028289,7.664815785,7.952966791,8.01466637,8.003697339,7.612336837,7.639161172,7.62754439,7.695757991,7.866722285
20,8.496173824,8.120291314,8.122371243,7.918992488,7.701200181,7.374629015,8.185071478,8.266678443,8.311398278,8.291797105,8.271292653,8.389132521,8.182279739,8.130353547,8.055792451,8.29953457,8.338066526,8.319961022,8.004699511,7.945909599,7.896180609,7.984121959,8.195609567
21,8.731013415,8.335671315,8.532278829,8.186464429,8.190354404,7.931284762,8.55718284,8.646289765,8.678631537,8.787983396,8.659560433,8.841881989,8.537779825,8.389132521,8.400659375,8.76561455,8.803273983,8.741456116,8.42463921,8.383661799,8.362408978,8.350666241,8.554488976
22,9.002208578,8.638348313,8.661293535,8.405591015,8.329416784,8.021912779,8.76950712,8.812248018,8.791941988,8.886132618,8.842604481,8.955190025,8.713582005,8.562740006,8.506132244,8.896724917,8.902863672,8.877242436,8.556990661,8.510369966,8.457867725,8.563313127,8.772455373
23,6.949856455,6.558197803,6.727431725,6.530877628,6.405228458,5.976350909,6.684611728,6.727431725,6.760414691,6.828712072,6.827629235,6.952728645,6.712956201,6.64898455,6.442540166,6.8134446,6.849066283,6.91770561,6.663132696,6.486160789,6.517671273,6.552507887,6.766191715
24,6.852242569,6.499787041,6.675823222,6.269096284,6.29710932,5.918893854,6.66440902,6.639875834,6.705639095,6.954638865,6.69950034,6.945051064,6.64118217,6.516193076,6.395261598,6.875232087,6.886531643,6.871091295,6.572282543,6.56948142,6.410174882,6.466144724,6.610696045
25,6.766191715,6.383506635,6.342121419,6.163314804,6.059123196,5.655991811,6.520621128,6.519147288,6.666956792,6.562444094,6.530877628,6.59441346,6.357842267,6.329720906,6.311734809,6.436150368,6.577861358,6.658011046,6.165417854,6.163314804,6.159095388,6.21860012,6.424869024
26,5.891644212,5.720311777,5.874930731,5.575949103,5.424950017,5.164785974,5.934894196,5.888877958,5.955837369,6.118097198,5.96870756,6.049733455,5.739792912,5.749392986,5.666426688,6.03068526,6.03068526,6.056784013,5.624017506,5.59471138,5.549076085,5.669880923,5.793013608
27,8.328209492,7.99530662,8.238801166,7.976938757,7.97590836,7.568379268,8.29404964,8.37609035,8.36124089,8.437283808,8.366137716,8.473241304,8.286773231,8.184234774,8.162231065,8.342839804,8.468002947,8.480321717,8.156510226,8.033658428,7.978653729,8.085486772,8.335431478
28,8.351138607,7.972121129,8.151333338,7.738488122,7.888334501,7.518064181,8.05610966,8.232971791,8.225503098,8.232440158,8.14293601,8.352554369,8.127995056,7.956827122,7.943427768,8.15017927,8.262816938,8.298041661,7.900266037,7.887584032,7.853604813,7.9490915,8.108924156
29,8.602820277,8.222822131,8.41294317,8.089789176,8.228977643,7.60190196,8.396606228,8.563885919,8.525359754,8.628197749,8.581106517,8.733271845,8.43402895,8.208764046,8.226038429,8.571302517,8.686429509,8.600246747,8.343553835,8.253488028,8.242493153,8.330381569,8.559102594
30,6.56948142,6.169610732,6.267200549,5.988961417,6.12249281,5.648974238,6.498282149,6.475432717,6.501289671,6.617402978,6.613384218,6.572282543,6.411818268,6.238324625,6.102558595,6.400257445,6.568077911,6.525029658,6.315358002,6.228511004,6.246106765,6.255750042,6.480044562
31,8.033982735,7.752335163,7.817222786,7.678788998,7.689371108,7.375882148,7.926602599,7.913155186,7.99193052,7.90359629,7.889833751,7.97590836,7.830822995,7.740664402,7.617267814,7.900636613,7.984121959,7.886081402,7.744569809,7.683403681,7.645397699,7.725330038,7.840706452
32,6.255750042,5.916202063,5.963579344,5.755742214,5.442417711,5.209486153,5.877735782,6.148468296,6.284134161,6.063785209,5.981414211,6.23636959,6.013715156,6.00635316,5.96870756,6.137727054,6.248042875,6.274762021,5.840641657,5.948034989,5.752572639,5.805134969,5.996452089
33,7.962067309,7.458762692,7.593374193,7.489970899,7.189167738,6.886531643,7.657282793,7.886457271,7.845416037,7.894318064,7.794411206,7.941295571,7.721348613,7.601402335,7.5416831,7.809947086,7.917900586,7.964155719,7.643961949,7.709308333,7.466227556,7.580699752,7.811163385
34,8.427924724,8.046869511,8.108924156,8.026496939,7.616775809,6.962243464,8.194781638,8.29504914,8.308199063,8.324093761,8.287780027,8.395929104,8.161375023,8.111027838,8.059592329,8.329416784,8.438366411,8.369620827,8.002024818,8.03106018,7.887584032,7.956126351,8.189244526
35,8.309430742,7.92984643,8.028781162,7.805474625,7.694392803,7.279318835,8.082093278,8.135053909,8.14612951,8.296795866,8.204398418,8.379768516,8.141481041,8.047829357,7.966586698,8.296795866,8.368461138,8.349720837,8.076515328,7.995980475,7.870929597,7.904334842,8.151909873
36,8.061802275,7.653020414,7.726653665,7.635303886,7.470793774,7.143617603,7.807510042,7.975564658,7.963807953,7.977625099,7.8671055,8.016317899,7.821643126,7.776115477,7.761744985,7.957527402,8.040124664,8.082402254,7.764720545,7.65396918,7.614312146,7.610357618,7.826842098
37,8.213652703,8.002359546,7.948031991,7.696212639,7.310550159,6.8134446,8.091627412,8.103796713,8.126222529,8.267962305,8.146998697,8.227108234,8.015327309,7.946617563,7.886832999,8.23270601,8.181440696,8.144098463,7.864035659,7.774855767,7.824845691,7.769800996,7.938802248
